,open,high,low,close,volume
2021-12-26 09:00:00,61177000.0,61939000.0,60288000.0,61467000.0,4350.54366915
2021-12-27 09:00:00,61467000.0,62500000.0,60934000.0,61508000.0,5287.22519425
2021-12-28 09:00:00,61470000.0,61508000.0,57912000.0,58274000.0,7303.08727699
2021-12-29 09:00:00,58261000.0,58763000.0,56650000.0,57089000.0,8037.99954485
2021-12-30 09:00:00,57089000.0,58233000.0,56400000.0,57200000.0,5506.78981263
2021-12-31 09:00:00,57233000.0,58812000.0,56233000.0,56784000.0,4959.9700856
2022-01-01 09:00:00,56784000.0,58271000.0,56762000.0,57915000.0,2628.14596492
2022-01-02 09:00:00,57915000.0,58300000.0,57100000.0,57531000.0,3567.5057124
2022-01-03 09:00:00,57540000.0,57749000.0,56133000.0,56641000.0,6304.95856401
2022-01-04 09:00:00,56640000.0,57685000.0,56000000.0,56023000.0,6053.44580235
2022-01-05 09:00:00,56023000.0,57100000.0,52701000.0,53854000.0,9296.79871351
2022-01-06 09:00:00,53854000.0,54300000.0,52388000.0,53239000.0,6389.07930239
2022-01-07 09:00:00,53240000.0,53358000.0,50900000.0,51449000.0,7509.10809323
2022-01-08 09:00:00,51449000.0,52709000.0,50829000.0,52142000.0,4171.09645762
2022-01-09 09:00:00,52142000.0,52600000.0,51144000.0,51678000.0,3369.09508974
2022-01-10 09:00:00,51672000.0,51999000.0,48897000.0,51246000.0,7955.46011133
2022-01-11 09:00:00,51255000.0,52493000.0,50408000.0,52307000.0,5812.21805175
2022-01-12 09:00:00,52306000.0,53945000.0,51800000.0,53349000.0,5617.86642827
2022-01-13 09:00:00,53349000.0,53940000.0,51809000.0,51885000.0,5468.01591063
2022-01-14 09:00:00,51885000.0,52691000.0,51010000.0,52230000.0,5030.18653553
2022-01-15 09:00:00,52230000.0,52891000.0,51878000.0,52357000.0,2595.04941124
2022-01-16 09:00:00,52357000.0,52634000.0,51948000.0,52165000.0,2131.4288192
2022-01-17 09:00:00,52165000.0,52300000.0,50822000.0,51436000.0,3104.23763117
2022-01-18 09:00:00,51435000.0,51600000.0,50192000.0,51179000.0,3894.69755153
2022-01-19 09:00:00,51183000.0,51395000.0,49988000.0,50333000.0,4815.61754533
2022-01-20 09:00:00,50333000.0,52361000.0,49575000.0,49648000.0,6914.68087553
2022-01-21 09:00:00,49600000.0,50001000.0,44600000.0,45316000.0,13031.22269492
2022-01-22 09:00:00,45316000.0,45622000.0,42629000.0,43375000.0,12317.48527338
2022-01-23 09:00:00,43376000.0,44500000.0,42725000.0,44253000.0,6165.20872887
2022-01-24 09:00:00,44255000.0,45600000.0,40871000.0,44731000.0,10984.73257578
2022-01-25 09:00:00,44764000.0,45572000.0,43511000.0,44909000.0,6937.03740715
2022-01-26 09:00:00,44905000.0,47460000.0,44520000.0,45100000.0,10144.39442742
2022-01-27 09:00:00,45100000.0,45844000.0,43786000.0,45809000.0,7488.1448014
2022-01-28 09:00:00,45800000.0,46890000.0,45060000.0,46588000.0,5565.15427472
2022-01-29 09:00:00,46592000.0,47746000.0,46180000.0,47146000.0,3980.16776223
2022-01-30 09:00:00,47144000.0,47500000.0,46498000.0,47208000.0,2868.98523419
2022-01-31 09:00:00,47208000.0,47647000.0,45624000.0,47266000.0,4554.26520595
